rank,tier,slug,title,doc_id,writer_type,target_skill,upgrade_label,sprint_bucket,upgrade_score,clicks_28d,impressions_28d,position_28d,rewrite_score,chars,content_cluster,current_state,next_round,rationale,recommended_depth,recommended_action
318,B_indexed_or_visible_refresh,02-cluster-what-is-mcot,What Is MCOT? How Lovart's Engine Thinks About Design Like a Human Designer,02-cluster-what-is-mcot,Lovart 101,lovart-101,deep_refresh_candidate,b1,982.34,0.0,161.0,6.92,442.88,10650,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,Lovart 101; broad-intent; 161 impressions; pos 6.9; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
319,B_indexed_or_visible_refresh,b35-ai-design-vs-traditional-software-bing,B35 AI Design vs Traditional Software Bing: Compare the Workflow Before You Choose,b35-ai-design-vs-traditional-software-bing,Review,lovart-review,cluster_support_only,b2,781.82,0.0,152.0,13.13,442.16,10145,General Creative Workflow,signal_refresh_complete,Round 4,Review; 152 impressions; pos 13.1; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
320,B_indexed_or_visible_refresh,spa-wellness-branding-calming-visual-strategy-2027,Spa & Wellness Branding: A Calming Visual Strategy for 2026,spa-wellness-branding-calming-visual-strategy-2027,How-To,how-to-benchmark-research,keep_refresh_only,b2,771.7,0.0,150.0,15.34,442.0,12762,Brand System,signal_refresh_complete,Round 4 -> Round 5,How-To; 150 impressions; pos 15.3; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
321,B_indexed_or_visible_refresh,ai-design-agencies,AI Design for Agencies: Margin Recovery in a Compressing Market,ai-design-agencies,How-To,how-to-benchmark-research,keep_refresh_only,b2,771.41,0.0,145.0,16.59,441.6,13687,General Creative Workflow,signal_refresh_complete,Round 4 -> Round 5,How-To; 145 impressions; pos 16.6; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
322,B_indexed_or_visible_refresh,nano-banana-2-gemini-image-editor-lovart,The Hallucination Tax: Why Agencies Are Afraid of Generative AI,nano-banana-2-gemini-image-editor-lovart,How-To,how-to-benchmark-research,keep_refresh_only,b2,771.41,0.0,145.0,8.01,441.6,16121,AI Image,signal_refresh_complete,Round 4 -> Round 5,How-To; 145 impressions; pos 8.0; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
323,B_indexed_or_visible_refresh,complete-guide-ai-design-for-every-business-niche,Complete Guide AI Design For Every Business Niche: A Practical Lovart Workflow Guide,complete-guide-ai-design-for-every-business-niche,Complete Guide,lovart-complete-guide,deep_refresh_candidate,b1,1001.29,0.0,143.0,8.94,441.44,9042,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,Complete Guide; broad-intent; 143 impressions; pos 8.9; worth second-stage depth upgrade,"Promote to canonical longform via state-machine drafting, evidence pack, and cluster integration.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
324,B_indexed_or_visible_refresh,b38-ai-product-photography-comparison-bing,AI Product Photography Tools: Quality Comparison & Buyer's Guide,b38-ai-product-photography-comparison-bing,Review,lovart-review,deep_refresh_candidate,b1,970.83,0.0,135.0,15.07,440.8,15319,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,Review; broad-intent; 135 impressions; pos 15.1; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
325,B_indexed_or_visible_refresh,brand-kit-real-estate-lovart,Brand Kit for Real Estate: Complete Visual Identity Guide with Lovart's AI Design Agent,brand-kit-real-estate-lovart,Best Practice,lovart-best-practice,deep_refresh_candidate,b1,945.71,0.0,133.0,9.1,440.64,9929,Brand System,signal_refresh_complete,Round 2 -> Round 3,Best Practice; broad-intent; 133 impressions; pos 9.1; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
326,B_indexed_or_visible_refresh,topaz-ai-alternative,Topaz AI Alternative: When to Use a Design Agent Instead,1u5vaBwLndY1gqYUMVexGX,Review,lovart-review,deep_refresh_candidate,b1,970.6,0.0,131.0,13.28,440.48,10064,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,Review; broad-intent; 131 impressions; pos 13.3; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
327,B_indexed_or_visible_refresh,perfect-imperfection-add-grain-noise-natural-ai,Perfect Imperfection Add Grain Noise Natural AI: A Practical Lovart Workflow Guide,perfect-imperfection-add-grain-noise-natural-ai,How-To,how-to-benchmark-research,deep_refresh_candidate,b1,940.6,0.0,131.0,7.57,440.48,9032,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 131 impressions; pos 7.6; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
328,B_indexed_or_visible_refresh,case-study-social-media-expanded-cropped-photos-ai,How Social Media Manager Priya Nair Expanded 200 Cropped Photos — And Stopped Apologizing to Her Agency's Clients,case-study-social-media-expanded-cropped-photos-ai,How-To,how-to-benchmark-research,keep_refresh_only,b2,770.31,0.0,126.0,6.5,440.08,13997,General Creative Workflow,signal_refresh_complete,Round 4 -> Round 5,How-To; 126 impressions; pos 6.5; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
329,B_indexed_or_visible_refresh,case-study-youtuber-edited-videos-ai,How YouTuber James Okonkwo Edited 47 Videos in 11 Days — Without Opening Premiere Pro Once,case-study-youtuber-edited-videos-ai,How-To,how-to-benchmark-research,keep_refresh_only,b2,770.19,0.0,124.0,5.66,439.92,14145,AI Video,signal_refresh_complete,Round 4 -> Round 5,How-To; 124 impressions; pos 5.7; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
330,B_indexed_or_visible_refresh,ai-design-workflow-comparison-canva-vs-lovart-vs-figma,AI Design Workflow Comparison Canva vs Lovart vs Figma: Compare the Workflow Before You Choose,bd-ai-design-workflow-comparison-canva-vs-lovart-vs-figma,Review,lovart-review,deep_refresh_candidate,b1,970.08,0.0,122.0,6.47,439.76,10229,Canva Alternative,signal_refresh_complete,Round 2 -> Round 3,Review; broad-intent; 122 impressions; pos 6.5; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
331,B_indexed_or_visible_refresh,ai-design-for-saas-pricing-pages-2026,AI Design for SaaS Pricing Pages — Convert More Visitors with Better Visuals,ai-design-for-saas-pricing-pages-2026,Best Practice,lovart-best-practice,cluster_support_only,b2,755.02,0.0,121.0,10.55,439.68,10991,General Creative Workflow,signal_refresh_complete,Round 4,Best Practice; 121 impressions; pos 10.6; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
332,B_indexed_or_visible_refresh,a4-how-to-remove-watermarks-objects-photos-ai,Remove Background from Image: AI Tools That Actually Work,a4-how-to-remove-watermarks-objects-photos-ai,How-To,how-to-benchmark-research,keep_refresh_only,b2,799.55,0.0,113.0,14.58,439.04,14263,AI Image,signal_refresh_complete,Round 4 -> Round 5,How-To; broad-intent; 113 impressions; pos 14.6; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
333,B_indexed_or_visible_refresh,isolating-objects-transparent-stickers-ai,Isolating Objects — How to Turn AI-Generated Items into Transparent Stickers,isolating-objects-transparent-stickers-ai,How-To,how-to-benchmark-research,keep_refresh_only,b2,769.44,0.0,111.0,9.65,438.88,10005,General Creative Workflow,signal_refresh_complete,Round 4 -> Round 5,How-To; 111 impressions; pos 9.7; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
334,B_indexed_or_visible_refresh,enterprise-lovart-vs-agency-cost-2026,Enterprise Lovart vs Agency Cost 2026: Compare the Workflow Before You Choose,enterprise-lovart-vs-agency-cost-2026,Review,lovart-review,cluster_support_only,b2,779.38,0.0,110.0,8.87,438.8,10110,General Creative Workflow,signal_refresh_complete,Round 4,Review; 110 impressions; pos 8.9; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
335,B_indexed_or_visible_refresh,ai-design-bias-inclusive-visual-output-2027,AI Design Bias: How to Ensure Inclusive Visual Output in 2026,ai-design-bias-inclusive-visual-output-2027,How-To,how-to-benchmark-research,keep_refresh_only,b2,769.26,0.0,108.0,6.18,438.64,16423,General Creative Workflow,signal_refresh_complete,Round 4 -> Round 5,How-To; 108 impressions; pos 6.2; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
336,B_indexed_or_visible_refresh,design-workflow-comparison-traditional-vs-ai,Design Workflow Comparison Traditional vs AI: Compare the Workflow Before You Choose,design-workflow-comparison-traditional-vs-ai,Review,lovart-review,deep_refresh_candidate,b1,969.26,0.0,108.0,11.71,438.64,10159,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,Review; broad-intent; 108 impressions; pos 11.7; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
337,B_indexed_or_visible_refresh,best-ai-design-agent-for-cocktail-bar-owners,Best AI Design Agent For Cocktail Bar Owners: A Practical Lovart Workflow Guide,blog-best-ai-design-agent-for-cocktail-bar-owners-en,Best Practice,lovart-best-practice,deep_refresh_candidate,b1,944.15,0.0,106.0,10.61,438.48,9017,AI Design Agent,signal_refresh_complete,Round 2 -> Round 3,Best Practice; broad-intent; 106 impressions; pos 10.6; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
338,B_indexed_or_visible_refresh,remini-alternative,Remini Alternative: When to Use a Design Agent Instead,o6YkSZCNskGrZicahpYoWu,Review,lovart-review,deep_refresh_candidate,b1,969.15,0.0,106.0,11.23,438.48,10050,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,Review; broad-intent; 106 impressions; pos 11.2; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
339,B_indexed_or_visible_refresh,brand-kit-influencer-lovart,Brand Kit for Influencer Lovart: Build a Visual System With AI,brand-kit-influencer-lovart,Best Practice,lovart-best-practice,cluster_support_only,b2,754.03,0.0,104.0,10.53,438.32,9075,Brand System,signal_refresh_complete,Round 4,Best Practice; 104 impressions; pos 10.5; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
340,B_indexed_or_visible_refresh,02-industry-school-branding-guide,"School Branding Guide: Mascot, Colors, and Visual Consistency Across Every Touchpoint",02-industry-school-branding-guide,How-To,how-to-benchmark-research,deep_refresh_candidate,b1,938.92,0.0,102.0,8.17,438.16,11634,Brand System,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 102 impressions; pos 8.2; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
341,B_indexed_or_visible_refresh,https-www-lovart-ai-zh-blog-the-death-of-the-stock-footage-era-a-complete-guide-to-ai-powered-video-creation-in-2026,Https ::Www.Lovart.Ai:Zh:Blog:The Death Of The Stock Footage Era A Complete Guide To Ai Powered Video Creation In 2026,https-www-lovart-ai-zh-blog-the-death-of-the-stock-footage-era-a-complete-guide-to-ai-powered-video-creation-in-2026,Complete Guide,lovart-complete-guide,deep_refresh_candidate,b1,998.8,0.0,100.0,6.62,438.0,13462,AI Video,signal_refresh_complete,Round 2 -> Round 3,Complete Guide; broad-intent; 100 impressions; pos 6.6; worth second-stage depth upgrade,"Promote to canonical longform via state-machine drafting, evidence pack, and cluster integration.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
342,B_indexed_or_visible_refresh,04-best-practice-chatcanvas-layout,Best Practice: ChatCanvas Layout Strategy for Maximum Productivity,04-best-practice-chatcanvas-layout,How-To,how-to-benchmark-research,deep_refresh_candidate,b1,955.64,5.0,149.0,5.93,431.92,8021,Lovart Canvas,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 149 impressions; 5 clicks; pos 5.9; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
